Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Rapid City, SD Metropolitan Statistical Area",447.6
"Sioux City, IA-NE-SD Metropolitan Statistical Area",299.2
"Sioux Falls, SD Metropolitan Statistical Area",393.8
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2016 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2018, Federal Trade Commission",
