Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Chattanooga, TN-GA Metropolitan Statistical Area",559.4
"Clarksville, TN-KY Metropolitan Statistical Area",553.9
"Cleveland, TN Metropolitan Statistical Area",525.3
"Cookeville, TN Micropolitan Statistical Area",463.7
"Jackson, TN Metropolitan Statistical Area",477.9
"Johnson City, TN Metropolitan Statistical Area",507.8
"Kingsport-Bristol-Bristol, TN-VA Metropolitan Statistical Area",439.1
"Knoxville, TN Metropolitan Statistical Area",505.9
"Memphis, TN-MS-AR Metropolitan Statistical Area",663
"Morristown, TN Metropolitan Statistical Area",413.4
"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area",601.1
"Tullahoma-Manchester, TN Micropolitan Statistical Area",419.6
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2016 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2018, Federal Trade Commission",
