Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Logan, UT-ID Metropolitan Statistical Area",302.6
"Ogden-Clearfield, UT Metropolitan Statistical Area",460.1
"Provo-Orem, UT Metropolitan Statistical Area",368.3
"Salt Lake City, UT Metropolitan Statistical Area",501.9
"St. George, UT Metropolitan Statistical Area",498.6
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2016 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2018, Federal Trade Commission",
