Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Blacksburg-Christiansburg-Radford, VA Metropolitan Statistical Area",360.4
"Bluefield, WV-VA Micropolitan Statistical Area",483.3
"Charlottesville, VA Metropolitan Statistical Area",520
"Danville, VA Micropolitan Statistical Area",167
"Harrisonburg, VA Metropolitan Statistical Area",261.3
"Kingsport-Bristol-Bristol, TN-VA Metropolitan Statistical Area",439.1
"Lynchburg, VA Metropolitan Statistical Area",350.1
"Richmond, VA Metropolitan Statistical Area",492.6
"Roanoke, VA Metropolitan Statistical Area",272.2
"Staunton-Waynesboro, VA Metropolitan Statistical Area",212
"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area",74.2
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",558.4
"Winchester, VA-WV Metropolitan Statistical Area",428.1
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2016 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2018, Federal Trade Commission",
