Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Bellingham, WA Metropolitan Statistical Area",531.4
"Bremerton-Silverdale, WA Metropolitan Statistical Area",506.8
"Kennewick-Richland, WA Metropolitan Statistical Area",401.6
"Longview, WA Metropolitan Statistical Area",415.6
"Mount Vernon-Anacortes, WA Metropolitan Statistical Area",548.2
"Olympia-Tumwater, WA Metropolitan Statistical Area",590.4
"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area",555.5
"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",541.4
"Spokane-Spokane Valley, WA Metropolitan Statistical Area",626.4
"Wenatchee, WA Metropolitan Statistical Area",352.7
"Yakima, WA Metropolitan Statistical Area",342.9
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2016 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2018, Federal Trade Commission",
