Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Beckley, WV Metropolitan Statistical Area",523.5
"Bluefield, WV-VA Micropolitan Statistical Area",483.3
"Charleston, WV Metropolitan Statistical Area",621.8
"Hagerstown-Martinsburg, MD-WV Metropolitan Statistical Area",567.8
"Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area",451.1
"Morgantown, WV Metropolitan Statistical Area",500.8
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",558.4
"Weirton-Steubenville, WV-OH Metropolitan Statistical Area",512.3
"Wheeling, WV-OH Metropolitan Statistical Area",445.5
"Winchester, VA-WV Metropolitan Statistical Area",428.1
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2016 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2018, Federal Trade Commission",
