Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Appleton, WI Metropolitan Statistical Area",415.2
"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",537.9
"Duluth, MN-WI Metropolitan Statistical Area",478.1
"Eau Claire, WI Metropolitan Statistical Area",407.5
"Fond du Lac, WI Metropolitan Statistical Area",422.9
"Green Bay, WI Metropolitan Statistical Area",422.6
"Janesville-Beloit, WI Metropolitan Statistical Area",477
"La Crosse-Onalaska, WI-MN Metropolitan Statistical Area",371
"Madison, WI Metropolitan Statistical Area",457.4
"Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area",526.8
"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",502
"Oshkosh-Neenah, WI Metropolitan Statistical Area",458
"Racine, WI Metropolitan Statistical Area",511.4
"Sheboygan, WI Metropolitan Statistical Area",367.3
"Wausau, WI Metropolitan Statistical Area",467.5
"Whitewater-Elkhorn, WI Micropolitan Statistical Area",405
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2016 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2018, Federal Trade Commission",
