"Fraud, Identity Theft, and Other Reports by Military Consumers
",,,,,
,,,,,
Military Status,# of Reports,# of Fraud Reports,% Reporting Fraud Loss,Total Fraud Loss,Median Fraud Loss
Active Duty Service Member,"12,031","4,229",18%,$7M,$600 
Dependent Child\Other – Service Member,"2,745","1,108",25%,$2M,$500 
Dependent Spouse – Service Member,"12,763","8,152",11%,$7M,$616 
Inactive Reserve\National Guard,"6,355","3,021",16%,$4M,$635 
Military Retiree\Veteran,"79,352","35,740",14%,$45M,$807 
,,,,,
"Of the 123,102 total reports from military consumers in 2019, 92% provided military status information.",,,,,
,,,,,
Military Branch,# of Reports,# of Fraud Reports,% Reporting Fraud Loss,Total Fraud Loss,Median Fraud Loss
U.S. Air Force,"16,424","9,927",15%,$13M,$700 
U.S. Army,"40,604","23,937",15%,$29M,$800 
U.S. Coast Guard,"1,704",989,13%,$1M,$700 
U.S. Marines,"8,918","4,682",16%,$6M,$799 
U.S. Navy,"43,775","11,305",13%,$12M,$800 
,,,,,
"Of the 123,102 total reports from military consumers in 2019, 91% provided military branch information.
",,,,,
,,,,,
Military Rank,# of Reports,# of Fraud Reports,% Reporting Fraud Loss,Total Fraud Loss,Median Fraud Loss
Enlisted Rank,"45,022","12,750",20%,$13M,$561 
Officer Rank,"9,386","3,417",17%,$10M,$599 
,,,,,
"Of the 123,102 total reports from military consumers in 2019, 44% provided information about rank.",,,,,
,,,,,
,,,,,
"Source: Consumer Sentinel Network Data Book 2019, Federal Trade Commission",,,,,
