State: Identity Theft Reports,,,
,,,
State,Theft Type,# of Reports,Percentage
Alabama,Other Identity Theft,3233,38%
Alabama,Credit Card Fraud,"3,223",38%
Alabama,Loan or Lease Fraud,2080,25%
Alabama,Phone or Utilities Fraud,1062,13%
Alabama,Bank Fraud,705,8%
Alabama,Employment or Tax-Related Fraud,522,6%
Alabama,Government Documents or Benefits Fraud,262,3%
Alaska,Credit Card Fraud,186,35%
Alaska,Other Identity Theft,170,32%
Alaska,Phone or Utilities Fraud,95,18%
Alaska,Bank Fraud,70,13%
Alaska,Loan or Lease Fraud,53,10%
Alaska,Employment or Tax-Related Fraud,46,9%
Alaska,Government Documents or Benefits Fraud,30,6%
Arizona,Credit Card Fraud,"4,102",38%
Arizona,Other Identity Theft,"3,122",29%
Arizona,Phone or Utilities Fraud,"1,494",14%
Arizona,Employment or Tax-Related Fraud,1485,14%
Arizona,Loan or Lease Fraud,1351,13%
Arizona,Bank Fraud,"1,141",11%
Arizona,Government Documents or Benefits Fraud,461,4%
Arkansas,Other Identity Theft,2129,47%
Arkansas,Credit Card Fraud,1214,27%
Arkansas,Loan or Lease Fraud,708,16%
Arkansas,Phone or Utilities Fraud,533,12%
Arkansas,Bank Fraud,407,9%
Arkansas,Employment or Tax-Related Fraud,381,8%
Arkansas,Government Documents or Benefits Fraud,159,4%
California,Credit Card Fraud,"51,468",51%
California,Other Identity Theft,"29,847",29%
California,Loan or Lease Fraud,"12,511",12%
California,Phone or Utilities Fraud,"8,732",9%
California,Bank Fraud,"8,572",8%
California,Employment or Tax-Related Fraud,"6,742",7%
California,Government Documents or Benefits Fraud,"3,403",3%
Colorado,Credit Card Fraud,2571,41%
Colorado,Other Identity Theft,"1,469",23%
Colorado,Bank Fraud,966,15%
Colorado,Phone or Utilities Fraud,895,14%
Colorado,Employment or Tax-Related Fraud,772,12%
Colorado,Loan or Lease Fraud,632,10%
Colorado,Government Documents or Benefits Fraud,309,5%
Connecticut,Credit Card Fraud,2096,46%
Connecticut,Other Identity Theft,937,21%
Connecticut,Phone or Utilities Fraud,832,18%
Connecticut,Bank Fraud,577,13%
Connecticut,Loan or Lease Fraud,485,11%
Connecticut,Employment or Tax-Related Fraud,443,10%
Connecticut,Government Documents or Benefits Fraud,177,4%
Delaware,Credit Card Fraud,840,38%
Delaware,Other Identity Theft,583,27%
Delaware,Phone or Utilities Fraud,449,21%
Delaware,Loan or Lease Fraud,340,16%
Delaware,Bank Fraud,316,14%
Delaware,Employment or Tax-Related Fraud,86,4%
Delaware,Government Documents or Benefits Fraud,57,3%
District of Columbia,Credit Card Fraud,584,38%
District of Columbia,Other Identity Theft,523,34%
District of Columbia,Loan or Lease Fraud,252,16%
District of Columbia,Phone or Utilities Fraud,239,15%
District of Columbia,Bank Fraud,144,9%
District of Columbia,Employment or Tax-Related Fraud,141,9%
District of Columbia,Government Documents or Benefits Fraud,77,5%
Florida,Credit Card Fraud,"33,050",51%
Florida,Other Identity Theft,"19,678",30%
Florida,Loan or Lease Fraud,"9,892",15%
Florida,Phone or Utilities Fraud,"7,845",12%
Florida,Bank Fraud,"5,338",8%
Florida,Employment or Tax-Related Fraud,"3,194",5%
Florida,Government Documents or Benefits Fraud,"2,094",3%
Georgia,Other Identity Theft,"19,303",43%
Georgia,Credit Card Fraud,"18,662",42%
Georgia,Loan or Lease Fraud,"10,047",22%
Georgia,Phone or Utilities Fraud,5150,11%
Georgia,Bank Fraud,"2,262",5%
Georgia,Employment or Tax-Related Fraud,"1,292",3%
Georgia,Government Documents or Benefits Fraud,686,2%
Hawaii,Credit Card Fraud,626,46%
Hawaii,Other Identity Theft,408,30%
Hawaii,Bank Fraud,183,14%
Hawaii,Loan or Lease Fraud,170,13%
Hawaii,Phone or Utilities Fraud,121,9%
Hawaii,Employment or Tax-Related Fraud,55,4%
Hawaii,Government Documents or Benefits Fraud,55,4%
Idaho,Credit Card Fraud,448,32%
Idaho,Bank Fraud,434,31%
Idaho,Other Identity Theft,328,23%
Idaho,Phone or Utilities Fraud,146,10%
Idaho,Loan or Lease Fraud,137,10%
Idaho,Employment or Tax-Related Fraud,83,6%
Idaho,Government Documents or Benefits Fraud,54,4%
Illinois,Credit Card Fraud,"9,370",40%
Illinois,Other Identity Theft,"7,322",32%
Illinois,Loan or Lease Fraud,"3,740",16%
Illinois,Phone or Utilities Fraud,3740,16%
Illinois,Bank Fraud,"2,262",10%
Illinois,Employment or Tax-Related Fraud,"1,561",7%
Illinois,Government Documents or Benefits Fraud,902,4%
Indiana,Credit Card Fraud,2238,35%
Indiana,Other Identity Theft,"2,100",33%
Indiana,Phone or Utilities Fraud,954,15%
Indiana,Loan or Lease Fraud,829,13%
Indiana,Bank Fraud,727,11%
Indiana,Employment or Tax-Related Fraud,528,8%
Indiana,Government Documents or Benefits Fraud,392,6%
Iowa,Credit Card Fraud,688,36%
Iowa,Other Identity Theft,521,27%
Iowa,Bank Fraud,336,18%
Iowa,Phone or Utilities Fraud,295,15%
Iowa,Employment or Tax-Related Fraud,207,11%
Iowa,Loan or Lease Fraud,176,9%
Iowa,Government Documents or Benefits Fraud,109,6%
Kansas,Credit Card Fraud,922,41%
Kansas,Other Identity Theft,561,25%
Kansas,Bank Fraud,388,17%
Kansas,Phone or Utilities Fraud,336,15%
Kansas,Loan or Lease Fraud,271,12%
Kansas,Employment or Tax-Related Fraud,224,10%
Kansas,Government Documents or Benefits Fraud,114,5%
Kentucky,Credit Card Fraud,1095,37%
Kentucky,Other Identity Theft,820,28%
Kentucky,Phone or Utilities Fraud,437,15%
Kentucky,Bank Fraud,423,14%
