"State Rankings: Identity Theft Reports
",,,
,,,
Rank,State,Reports per 100K Population,# of Reports
1,Georgia,427,"44,888"
2,Florida,304,"64,842"
3,California,257,"101,639"
4,Texas,256,"73,553"
5,Nevada,256,"7,757"
6,Louisiana,227,"10,582"
7,Delaware,226,"2,188"
8,South Carolina,213,"10,851"
9,Maryland,210,"12,675"
10,New Jersey,205,"18,220"
11,New York,186,"36,337"
12,Illinois,182,"23,139"
13,North Carolina,179,"18,584"
14,Alabama,173,"8,454"
15,Pennsylvania,163,"20,899"
16,Mississippi,158,"4,714"
17,Tennessee,158,"10,664"
18,Arkansas,150,"4,525"
19,Arizona,150,"10,744"
20,Utah,149,"4,702"
21,Michigan,135,"13,532"
22,Connecticut,128,"4,564"
23,Massachusetts,125,"8,606"
24,Missouri,121,"7,406"
25,Virginia,121,"10,284"
26,Ohio,118,"13,788"
27,Colorado,110,"6,272"
28,Rhode Island,108,"1,146"
29,New Mexico,100,"2,088"
30,New Hampshire,96,"1,302"
31,Oregon,96,"4,005"
32,Indiana,95,"6,386"
33,Hawaii,95,"1,347"
34,Washington,94,"7,110"
35,Oklahoma,94,"3,706"
36,Wisconsin,86,"5,023"
37,Idaho,81,"1,420"
38,Minnesota,80,"4,499"
39,Kansas,78,"2,273"
40,Alaska,73,539
41,Nebraska,68,"1,320"
42,Kentucky,67,"2,977"
43,Montana,67,707
44,Iowa,61,"1,910"
45,Maine,60,807
46,North Dakota,59,448
47,West Virginia,59,"1,061"
48,Wyoming,55,319
49,Vermont,54,338
50,South Dakota,47,411
,District of Columbia,221,"1,550"
,Puerto Rico,51,"1,621"
,,,
"The District of Columbia and Puerto Rico are included in the table but are not ranked.  States are ranked based on the number of reports per 100,000 populations. Population estimates are based on 2018 U.S. Census population estimates.",,,
,,,
"Source: Consumer Sentinel Network Data Book 2019, Federal Trade Commission",,,
