Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"New Orleans-Metairie, LA Metropolitan Statistical Area",613
"Shreveport-Bossier City, LA Metropolitan Statistical Area",601
"Baton Rouge, LA Metropolitan Statistical Area",538
"Hammond, LA Metropolitan Statistical Area",489
"Monroe, LA Metropolitan Statistical Area",458
"Lake Charles, LA Metropolitan Statistical Area",441
"Alexandria, LA Metropolitan Statistical Area",431
"Lafayette, LA Metropolitan Statistical Area",407
"Houma-Thibodaux, LA Metropolitan Statistical Area",372
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2018 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2019, Federal Trade Commission",
