Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Memphis, TN-MS-AR Metropolitan Statistical Area",750
"Gulfport-Biloxi-Pascagoula, MS Metropolitan Statistical Area",543
"Jackson, MS Metropolitan Statistical Area",524
"Hattiesburg, MS Metropolitan Statistical Area",480
"Tupelo, MS Micropolitan Statistical Area",460
"Meridian, MS Micropolitan Statistical Area",397
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2018 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2019, Federal Trade Commission",
