Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Santa Fe, NM Metropolitan Statistical Area",722
"Albuquerque, NM Metropolitan Statistical Area",626
"Las Cruces, NM Metropolitan Statistical Area",523
"Farmington, NM Metropolitan Statistical Area",386
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2018 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2019, Federal Trade Commission",
