Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Kingston, NY Metropolitan Statistical Area",671
"Rochester, NY Metropolitan Statistical Area",645
"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",645
"Buffalo-Cheektowaga-Niagara Falls, NY Metropolitan Statistical Area",620
"Binghamton, NY Metropolitan Statistical Area",614
"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",600
"Glens Falls, NY Metropolitan Statistical Area",583
"Syracuse, NY Metropolitan Statistical Area",566
"Watertown-Fort Drum, NY Metropolitan Statistical Area",520
"Ithaca, NY Metropolitan Statistical Area",483
"Utica-Rome, NY Metropolitan Statistical Area",482
"Jamestown-Dunkirk-Fredonia, NY Micropolitan Statistical Area",463
"Ogdensburg-Massena, NY Micropolitan Statistical Area",437
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2018 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2019, Federal Trade Commission",
