Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",760
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metropolitan Statistical Area",738
"Fayetteville, NC Metropolitan Statistical Area",724
"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area",698
"Asheville, NC Metropolitan Statistical Area",680
"Raleigh, NC Metropolitan Statistical Area",658
"New Bern, NC Metropolitan Statistical Area",625
"Greensboro-High Point, NC Metropolitan Statistical Area",622
"Rocky Mount, NC Metropolitan Statistical Area",620
"Wilmington, NC Metropolitan Statistical Area",607
"Winston-Salem, NC Metropolitan Statistical Area",601
"Jacksonville, NC Metropolitan Statistical Area",588
"Durham-Chapel Hill, NC Metropolitan Statistical Area",574
"Dunn, NC Micropolitan Statistical Area",557
"Greenville, NC Metropolitan Statistical Area",545
"Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area",540
"Burlington, NC Metropolitan Statistical Area",524
"Goldsboro, NC Metropolitan Statistical Area",485
"Lumberton, NC Micropolitan Statistical Area",362
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2018 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2019, Federal Trade Commission",
