Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"San Juan-Carolina-Caguas, PR Metropolitan Statistical Area",126
"Ponce, PR Metropolitan Statistical Area",97
"Aguadilla-Isabela, PR Metropolitan Statistical Area",93
"Arecibo, PR Metropolitan Statistical Area",87
"San Germán, PR Metropolitan Statistical Area",83
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2018 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2019, Federal Trade Commission",
