Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Columbia, SC Metropolitan Statistical Area",776
"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",760
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metropolitan Statistical Area",738
"Charleston-North Charleston, SC Metropolitan Statistical Area",662
"Greenville-Anderson-Mauldin, SC Metropolitan Statistical Area",648
"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",616
"Sumter, SC Metropolitan Statistical Area",578
"Spartanburg, SC Metropolitan Statistical Area",562
"Hilton Head Island-Bluffton-Beaufort, SC Metropolitan Statistical Area",552
"Florence, SC Metropolitan Statistical Area",550
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2018 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2019, Federal Trade Commission",
