Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Killeen-Temple, TX Metropolitan Statistical Area",679
"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",669
"Austin-Round Rock, TX Metropolitan Statistical Area",657
"Tyler, TX Metropolitan Statistical Area",633
"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area",625
"Beaumont-Port Arthur, TX Metropolitan Statistical Area",597
"Longview, TX Metropolitan Statistical Area",561
"San Antonio-New Braunfels, TX Metropolitan Statistical Area",551
"Sherman-Denison, TX Metropolitan Statistical Area",550
"Waco, TX Metropolitan Statistical Area",537
"Texarkana, TX-AR Metropolitan Statistical Area",528
"Wichita Falls, TX Metropolitan Statistical Area",511
"Amarillo, TX Metropolitan Statistical Area",505
"Abilene, TX Metropolitan Statistical Area",500
"San Angelo, TX Metropolitan Statistical Area",485
"Lubbock, TX Metropolitan Statistical Area",476
"Corpus Christi, TX Metropolitan Statistical Area",460
"Midland, TX Metropolitan Statistical Area",454
"College Station-Bryan, TX Metropolitan Statistical Area",422
"El Paso, TX Metropolitan Statistical Area",419
"Odessa, TX Metropolitan Statistical Area",362
"Brownsville-Harlingen, TX Metropolitan Statistical Area",271
"McAllen-Edinburg-Mission, TX Metropolitan Statistical Area",236
"Laredo, TX Metropolitan Statistical Area",224
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2018 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2019, Federal Trade Commission",
