Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,Reports per 100K Population
"Columbus, GA-AL Metropolitan Statistical Area",433
"Montgomery, AL Metropolitan Statistical Area",248
"Birmingham-Hoover, AL Metropolitan Statistical Area",245
"Tuscaloosa, AL Metropolitan Statistical Area",214
"Anniston-Oxford-Jacksonville, AL Metropolitan Statistical Area",176
"Mobile, AL Metropolitan Statistical Area",166
"Auburn-Opelika, AL Metropolitan Statistical Area",157
"Huntsville, AL Metropolitan Statistical Area",139
"Daphne-Fairhope-Foley, AL Metropolitan Statistical Area",115
"Dothan, AL Metropolitan Statistical Area",107
"Gadsden, AL Metropolitan Statistical Area",102
"Decatur, AL Metropolitan Statistical Area",78
"Florence-Muscle Shoals, AL Metropolitan Statistical Area",68
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2018 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2019, Federal Trade Commission",
