Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,Reports per 100K Population
"Bridgeport-Stamford-Norwalk, CT Metropolitan Statistical Area",148
"Hartford-West Hartford-East Hartford, CT Metropolitan Statistical Area",124
"New Haven-Milford, CT Metropolitan Statistical Area",123
"Norwich-New London, CT Metropolitan Statistical Area",112
"Torrington, CT Micropolitan Statistical Area",91
"Worcester, MA-CT Metropolitan Statistical Area",90
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2018 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2019, Federal Trade Commission",
