Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,Reports per 100K Population
"Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area",556
"Tallahassee, FL Metropolitan Statistical Area",295
"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area",277
"Port St. Lucie, FL Metropolitan Statistical Area",243
"Lakeland-Winter Haven, FL Metropolitan Statistical Area",230
"Jacksonville, FL Metropolitan Statistical Area",215
"Sebring, FL Metropolitan Statistical Area",208
"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",203
"Sebastian-Vero Beach, FL Metropolitan Statistical Area",184
"Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area",176
"Ocala, FL Metropolitan Statistical Area",170
"Punta Gorda, FL Metropolitan Statistical Area",163
"Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area",160
"Gainesville, FL Metropolitan Statistical Area",160
"Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area",160
"Naples-Immokalee-Marco Island, FL Metropolitan Statistical Area",157
"Cape Coral-Fort Myers, FL Metropolitan Statistical Area",151
"North Port-Sarasota-Bradenton, FL Metropolitan Statistical Area",136
"Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area",113
"The Villages, FL Metropolitan Statistical Area",112
"Homosassa Springs, FL Metropolitan Statistical Area",102
"Panama City, FL Metropolitan Statistical Area",99
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2018 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2019, Federal Trade Commission",
