Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,Reports per 100K Population
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",232
"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",225
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",175
"California-Lexington Park, MD Metropolitan Statistical Area",107
"Salisbury, MD-DE Metropolitan Statistical Area",93
"Hagerstown-Martinsburg, MD-WV Metropolitan Statistical Area",78
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2018 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2019, Federal Trade Commission",
