Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,Reports per 100K Population
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",232
"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",230
"Trenton, NJ Metropolitan Statistical Area",179
"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",136
"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",127
"Vineland-Bridgeton, NJ Metropolitan Statistical Area",101
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2018 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2019, Federal Trade Commission",
