Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,Reports per 100K Population
"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",230
"Rochester, NY Metropolitan Statistical Area",135
"Buffalo-Cheektowaga-Niagara Falls, NY Metropolitan Statistical Area",92
"Binghamton, NY Metropolitan Statistical Area",84
"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",81
"Kingston, NY Metropolitan Statistical Area",81
"Watertown-Fort Drum, NY Metropolitan Statistical Area",81
"Ithaca, NY Metropolitan Statistical Area",74
"Syracuse, NY Metropolitan Statistical Area",65
"Jamestown-Dunkirk-Fredonia, NY Micropolitan Statistical Area",63
"Utica-Rome, NY Metropolitan Statistical Area",52
"Ogdensburg-Massena, NY Micropolitan Statistical Area",43
"Glens Falls, NY Metropolitan Statistical Area",34
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2018 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2019, Federal Trade Commission",
