Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,Reports per 100K Population
"Fayetteville, NC Metropolitan Statistical Area",257
"Greensboro-High Point, NC Metropolitan Statistical Area",239
"Greenville, NC Metropolitan Statistical Area",235
"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",232
"Raleigh, NC Metropolitan Statistical Area",210
"Rocky Mount, NC Metropolitan Statistical Area",205
"Durham-Chapel Hill, NC Metropolitan Statistical Area",194
"Burlington, NC Metropolitan Statistical Area",178
"Dunn, NC Micropolitan Statistical Area",172
"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area",170
"Winston-Salem, NC Metropolitan Statistical Area",159
"Goldsboro, NC Metropolitan Statistical Area",140
"Lumberton, NC Micropolitan Statistical Area",130
"Wilmington, NC Metropolitan Statistical Area",129
"Asheville, NC Metropolitan Statistical Area",110
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metropolitan Statistical Area",103
"Jacksonville, NC Metropolitan Statistical Area",98
"New Bern, NC Metropolitan Statistical Area",82
"Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area",67
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2018 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2019, Federal Trade Commission",
