Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,Reports per 100K Population
"Oklahoma City, OK Metropolitan Statistical Area",115
"Tulsa, OK Metropolitan Statistical Area",113
"Lawton, OK Metropolitan Statistical Area",90
"Fort Smith, AR-OK Metropolitan Statistical Area",65
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2018 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2019, Federal Trade Commission",
