Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,Reports per 100K Population
"Ponce, PR Metropolitan Statistical Area",81
"San Juan-Carolina-Caguas, PR Metropolitan Statistical Area",49
"Arecibo, PR Metropolitan Statistical Area",42
"San Germán, PR Metropolitan Statistical Area",38
"Aguadilla-Isabela, PR Metropolitan Statistical Area",35
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2018 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2019, Federal Trade Commission",
