Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,Reports per 100K Population
"Columbia, SC Metropolitan Statistical Area",411
"Sumter, SC Metropolitan Statistical Area",321
"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",232
"Florence, SC Metropolitan Statistical Area",223
"Charleston-North Charleston, SC Metropolitan Statistical Area",210
"Greenville-Anderson-Mauldin, SC Metropolitan Statistical Area",165
"Hilton Head Island-Bluffton-Beaufort, SC Metropolitan Statistical Area",152
"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",150
"Spartanburg, SC Metropolitan Statistical Area",149
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metropolitan Statistical Area",103
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2018 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2019, Federal Trade Commission",
