Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,Reports per 100K Population
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",175
"Charleston, WV Metropolitan Statistical Area",90
"Hagerstown-Martinsburg, MD-WV Metropolitan Statistical Area",78
"Morgantown, WV Metropolitan Statistical Area",63
"Winchester, VA-WV Metropolitan Statistical Area",60
"Weirton-Steubenville, WV-OH Metropolitan Statistical Area",59
"Beckley, WV Metropolitan Statistical Area",52
"Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area",51
"Wheeling, WV-OH Metropolitan Statistical Area",43
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2018 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2019, Federal Trade Commission",
