Fraud Reports by Amount Lost,,
,,
Number of Fraud Reports,"2,184,531",
Reports with $ Loss,"742,589",34% of the total
Total $ Loss,"$3,305,412,862 ",
Median $ Loss,$311 ,
,,
"Reported Fraud Losses in $1 - $10,000 + Range",,
Amount Lost,# of Reports,
"$1 - $1,000","526,007",
"$1,001 - $2,000","85,925",
"$2,001 - $3,000","34,222",
"$3,001 - $4,000","17,563",
"$4,001 - $5,000","13,306",
"$5,001 - $6,000","7,081",
"$6,001 - $7,000","5,476",
"$7,001 - $8,000","4,662",
"$8,001 - $9,000","3,451",
"$9,001 - $10,000","5,162",
"More than $10,000","39,734",
,,
"Reported Fraud Losses in $1 - $1,000 Range",,
Amount Lost ,# of Reports,
$1 - $100,"227,540",
$101 - $200,"89,881",
$201 - $300,"50,804",
$301 - $400,"33,661",
$401 - $500,"32,447",
$501 - $600,"21,424",
$601 - $700,"16,954",
$701 - $800,"18,433",
$801 - $900,"12,235",
"$901 - $1,000","22,628",
,,
"The amount lost is based on reports in which consumers indicated they lost between $1 and $999,999. ",,
,,
"Source: Consumer Sentinel Network Data Book 2020, Federal Trade Commission",,
