Fraud Reports by Contact Method,,,,,
,,,,,
Contact Method,# of Reports,Percentage of all Fraud Reports with a Contact Method identified,"Of those reports, the percentage with a dollar loss reported ",Total $ Lost, Median $ Loss 
Email,"186,621",15%,28%,$247M,$400 
Mail,"35,878",3%,14%,$46M,$799 
Online Ad or Pop-up,"6,884",1%,70%,$13M,$172 
Other,"100,926",8%,64%,$314M,$234 
Phone call,"383,598",31%,13%,$436M,"$1,170 "
Social Media,"70,365",6%,65%,$257M,$200 
Text,"334,524",27%,5%,$86M,$800 
Website or Apps,"134,416",11%,68%,$316M,$150 
,,,,,
Number of Fraud Reports,"2,184,531",,,,
# of Reports with Contact Method,"1,253,212",57% of Total,,,
,,,,,
"Other contact methods includes TV or radio, print, fax, in person, and other methods consumers write in or that cannot be otherwise categorized. The “Consumer Initiated Contact” contact method was retired in October 2020, and is also included in Other.",,,,,
"Source: Consumer Sentinel Network Data Book 2020, Federal Trade Commission",,,,,
