Report Categories over Three Years,,,
,,,
Year,Category, # of Reports ,Percentage
2018,Advance Payments for Credit Services,"20,617",0.66%
2018,Auto Related,"114,420",3.67%
2018,Banks and Lenders,"144,622",4.64%
2018,Business and Job Opportunities,"25,793",0.83%
2018,Charitable Solicitations,"4,492",0.14%
2018,Computer Equipment and Software,"19,817",0.64%
2018,"Credit Bureaus, Information Furnishers and Report Users","137,821",4.42%
2018,Credit Cards,"52,845",1.70%
2018,Debt Collection,"484,320",15.55%
2018,Education,"16,012",0.51%
2018,Foreign Money Offers and Fake Check Scams,"27,541",0.88%
2018,Funeral Services,"1,036",0.03%
2018,Grants,"6,344",0.20%
2018,Health Care,"52,326",1.68%
2018,"Home Repair, Improvement and Products","18,198",0.58%
2018,Identity Theft,"444,344",14.26%
2018,Imposter Scams,"549,922",17.65%
2018,Internet Services,"64,058",2.06%
2018,Investment Related,"14,696",0.47%
2018,Magazines and Books,"6,838",0.22%
2018,Miscellaneous Reports,"37,002",1.19%
2018,Mortgage Foreclosure Relief and Debt Management,"10,591",0.34%
2018,Office Supplies and Services,"5,958",0.19%
2018,Online Shopping and Negative Reviews,"152,888",4.91%
2018,"Privacy, Data Security, and Cyber Threats","2,526",0.08%
2018,"Prizes, Sweepstakes and Lotteries","140,090",4.50%
2018,Tax Preparers,"4,318",0.14%
2018,Telephone and Mobile Services,"76,613",2.46%
2018,Television and Electronic Media,"40,299",1.29%
2018,"Travel, Vacations and Timeshare Plans","31,822",1.02%
2018,Unspecified Reports,"423,242",13.58%
2019,Advance Payments for Credit Services,"17,480",0.54%
2019,Auto Related,"120,104",3.70%
2019,Banks and Lenders,"155,052",4.78%
2019,Business and Job Opportunities,"28,553",0.88%
2019,Charitable Solicitations,"3,487",0.11%
2019,Computer Equipment and Software,"14,347",0.44%
2019,"Credit Bureaus, Information Furnishers and Report Users","165,485",5.10%
2019,Credit Cards,"55,238",1.70%
2019,Debt Collection,"136,314",4.20%
2019,Education,"21,370",0.66%
2019,Foreign Money Offers and Fake Check Scams,"31,171",0.96%
2019,Funeral Services,"1,155",0.04%
2019,Grants,"5,303",0.16%
2019,Health Care,"63,519",1.96%
2019,"Home Repair, Improvement and Products","27,399",0.84%
2019,Identity Theft,"650,523",20.05%
2019,Imposter Scams,"645,874",19.90%
2019,Internet Services,"78,100",2.41%
2019,Investment Related,"15,373",0.47%
2019,Magazines and Books,"7,623",0.23%
2019,Miscellaneous Reports,"45,871",1.41%
2019,Mortgage Foreclosure Relief and Debt Management,"10,796",0.33%
2019,Office Supplies and Services,"5,623",0.17%
2019,Online Shopping and Negative Reviews,"178,117",5.49%
2019,"Privacy, Data Security, and Cyber Threats","3,155",0.10%
2019,"Prizes, Sweepstakes and Lotteries","124,956",3.85%
2019,Tax Preparers,"4,199",0.13%
2019,Telephone and Mobile Services,"84,118",2.59%
2019,Television and Electronic Media,"37,816",1.17%
2019,"Travel, Vacations and Timeshare Plans","37,152",1.14%
2019,Unspecified Reports,"657,593",20.27%
2020,Advance Payments for Credit Services,"16,842",0.36%
2020,Auto Related,"120,474",2.55%
2020,Banks and Lenders,"170,958",3.62%
2020,Business and Job Opportunities,"59,131",1.25%
2020,Charitable Solicitations,"4,629",0.10%
2020,Computer Equipment and Software,"21,306",0.45%
2020,"Credit Bureaus, Information Furnishers and Report Users","316,521",6.70%
2020,Credit Cards,"66,090",1.40%
2020,Debt Collection,"120,190",2.55%
2020,Education,"26,872",0.57%
2020,Foreign Money Offers and Fake Check Scams,"38,420",0.81%
2020,Funeral Services,"1,309",0.03%
2020,Grants,"4,014",0.09%
2020,Health Care,"83,472",1.77%
2020,"Home Repair, Improvement and Products","52,555",1.11%
2020,Identity Theft,"1,387,615",29.39%
2020,Imposter Scams,"498,278",10.56%
2020,Internet Services,"140,435",2.97%
2020,Investment Related,"24,647",0.52%
2020,Magazines and Books,"6,333",0.13%
2020,Miscellaneous Reports,"48,278",1.02%
2020,Mortgage Foreclosure Relief and Debt Management,"10,727",0.23%
2020,Office Supplies and Services,"5,392",0.11%
2020,Online Shopping and Negative Reviews,"353,509",7.49%
2020,"Privacy, Data Security, and Cyber Threats","74,925",1.59%
2020,"Prizes, Sweepstakes and Lotteries","116,205",2.46%
2020,Tax Preparers,"4,616",0.10%
2020,Telephone and Mobile Services,"81,835",1.73%
2020,Television and Electronic Media,"41,079",0.87%
2020,"Travel, Vacations and Timeshare Plans","73,388",1.55%
2020,Unspecified Reports,"966,410",20.47%
,,,
"Percentages are based on the total number of Sentinel reports in 2018 (3,115,556), 2019 (3,244,844), and 2020 (4,720,743). Consumers can report more than one category or subcategory.",,,
,,,
"Source: Consumer Sentinel Network Data Book 2020, Federal Trade Commission",,,
