State Rankings: Fraud and Other Reports,,,
,,,
Rank,State,Reports per 100K Population,# of Reports
1,Nevada,"1,154","35,533"
2,Delaware,"1,127","10,970"
3,Florida,"1,123","241,262"
4,Maryland,"1,044","63,115"
5,Georgia,"1,011","107,382"
6,Virginia,928,"79,208"
7,New Jersey,883,"78,412"
8,Colorado,874,"50,335"
9,New York,872,"169,585"
10,Pennsylvania,869,"111,261"
11,Arizona,869,"63,248"
12,Tennessee,866,"59,107"
13,Washington,857,"65,236"
14,South Carolina,851,"43,798"
15,Alabama,836,"40,988"
16,Texas,822,"238,251"
17,North Carolina,816,"85,622"
18,Oregon,815,"34,375"
19,Arkansas,813,"24,539"
20,California,807,"318,698"
21,Illinois,806,"102,121"
22,Connecticut,797,"28,416"
23,Missouri,790,"48,507"
24,Massachusetts,771,"53,111"
25,Ohio,760,"88,839"
26,New Mexico,758,"15,886"
27,Rhode Island,755,"7,994"
28,New Hampshire,742,"10,092"
29,Alaska,734,"5,367"
30,Louisiana,732,"34,007"
31,Kansas,729,"21,250"
32,Michigan,714,"71,328"
33,Utah,707,"22,682"
34,Hawaii,707,"10,008"
35,Vermont,696,"4,346"
36,Minnesota,691,"38,947"
37,Wisconsin,674,"39,231"
38,Montana,668,"7,140"
39,West Virginia,667,"11,946"
40,Mississippi,662,"19,700"
41,Indiana,660,"44,406"
42,Kentucky,658,"29,388"
43,Maine,639,"8,594"
44,Idaho,635,"11,354"
45,Wyoming,619,"3,582"
46,Nebraska,603,"11,670"
47,Oklahoma,600,"23,730"
48,Iowa,524,"16,538"
49,North Dakota,460,"3,504"
50,South Dakota,459,"4,064"
,District of Columbia,"1,329","9,380"
,Puerto Rico,191,"6,110"
,,,
"The District of Columbia and Puerto Rico are included in the table but are not ranked.  States are ranked based on the number of reports per 100,000 populations. Population estimates are based on 2019 U.S. Census population estimates. Ranking excludes state-specific data contributor reports.  ",,,
,,,
"Source: Consumer Sentinel Network Data Book 2020, Federal Trade Commission",,,
