Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Anniston-Oxford, AL Metropolitan Statistical Area",709
"Auburn-Opelika, AL Metropolitan Statistical Area",581
"Birmingham-Hoover, AL Metropolitan Statistical Area",839
"Columbus, GA-AL Metropolitan Statistical Area",871
"Daphne-Fairhope-Foley, AL Metropolitan Statistical Area",720
"Decatur, AL Metropolitan Statistical Area",585
"Dothan, AL Metropolitan Statistical Area",564
"Florence-Muscle Shoals, AL Metropolitan Statistical Area",608
"Gadsden, AL Metropolitan Statistical Area",548
"Huntsville, AL Metropolitan Statistical Area",908
"LaGrange, GA-AL Micropolitan Statistical Area",550
"Mobile, AL Metropolitan Statistical Area",741
"Montgomery, AL Metropolitan Statistical Area","1,029"
"Tuscaloosa, AL Metropolitan Statistical Area","2,273"
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2019 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2020, Federal Trade Commission",
