Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Flagstaff, AZ Metropolitan Statistical Area",590
"Lake Havasu City-Kingman, AZ Metropolitan Statistical Area",938
"Phoenix-Mesa-Chandler, AZ Metropolitan Statistical Area",889
"Prescott Valley-Prescott, AZ Metropolitan Statistical Area",932
"Show Low, AZ Micropolitan Statistical Area",528
"Sierra Vista-Douglas, AZ Metropolitan Statistical Area",869
"Tucson, AZ Metropolitan Statistical Area",868
"Yuma, AZ Metropolitan Statistical Area",411
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2019 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2020, Federal Trade Commission",
