Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Fayetteville-Springdale-Rogers, AR Metropolitan Statistical Area",626
"Fort Smith, AR-OK Metropolitan Statistical Area",514
"Jonesboro, AR Metropolitan Statistical Area",594
"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area","1,376"
"Memphis, TN-MS-AR Metropolitan Statistical Area","1,361"
"Texarkana, TX-AR Metropolitan Statistical Area",687
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2019 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2020, Federal Trade Commission",
