Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Bakersfield, CA Metropolitan Statistical Area",585
"Chico, CA Metropolitan Statistical Area",640
"El Centro, CA Metropolitan Statistical Area",364
"Eureka-Arcata, CA Micropolitan Statistical Area",790
"Fresno, CA Metropolitan Statistical Area",761
"Hanford-Corcoran, CA Metropolitan Statistical Area",467
"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",848
"Madera, CA Metropolitan Statistical Area",599
"Merced, CA Metropolitan Statistical Area",460
"Modesto, CA Metropolitan Statistical Area",552
"Napa, CA Metropolitan Statistical Area",656
"Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area",726
"Redding, CA Metropolitan Statistical Area",662
"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",702
"Sacramento-Roseville-Folsom, CA Metropolitan Statistical Area",837
"Salinas, CA Metropolitan Statistical Area",507
"San Diego-Chula Vista-Carlsbad, CA Metropolitan Statistical Area",879
"San Francisco-Oakland-Berkeley, CA Metropolitan Statistical Area",841
"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",788
"San Luis Obispo-Paso Robles, CA Metropolitan Statistical Area",706
"Santa Cruz-Watsonville, CA Metropolitan Statistical Area",748
"Santa Maria-Santa Barbara, CA Metropolitan Statistical Area",611
"Santa Rosa-Petaluma, CA Metropolitan Statistical Area",684
"Stockton, CA Metropolitan Statistical Area",682
"Vallejo, CA Metropolitan Statistical Area",846
"Visalia, CA Metropolitan Statistical Area",488
"Yuba City, CA Metropolitan Statistical Area",581
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2019 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2020, Federal Trade Commission",
