Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Boulder, CO Metropolitan Statistical Area",942
"Colorado Springs, CO Metropolitan Statistical Area",963
"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area",897
"Fort Collins, CO Metropolitan Statistical Area",774
"Grand Junction, CO Metropolitan Statistical Area",695
"Greeley, CO Metropolitan Statistical Area",604
"Pueblo, CO Metropolitan Statistical Area",820
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2019 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2020, Federal Trade Commission",
