Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Albany, GA Metropolitan Statistical Area",791
"Athens-Clarke County, GA Metropolitan Statistical Area",557
"Atlanta-Sandy Springs-Alpharetta, GA Metropolitan Statistical Area","1,227"
"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",798
"Brunswick, GA Metropolitan Statistical Area",668
"Chattanooga, TN-GA Metropolitan Statistical Area",761
"Columbus, GA-AL Metropolitan Statistical Area",871
"Dalton, GA Metropolitan Statistical Area",445
"Gainesville, GA Metropolitan Statistical Area",630
"LaGrange, GA-AL Micropolitan Statistical Area",550
"Macon-Bibb County, GA Metropolitan Statistical Area",810
"Savannah, GA Metropolitan Statistical Area",953
"Valdosta, GA Metropolitan Statistical Area",637
"Warner Robins, GA Metropolitan Statistical Area",790
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2019 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2020, Federal Trade Commission",
