Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Augusta-Waterville, ME Micropolitan Statistical Area",617
"Bangor, ME Metropolitan Statistical Area",653
"Lewiston-Auburn, ME Metropolitan Statistical Area",569
"Portland-South Portland, ME Metropolitan Statistical Area",638
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2019 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2020, Federal Trade Commission",
