Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Barnstable Town, MA Metropolitan Statistical Area",757
"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area",772
"Pittsfield, MA Metropolitan Statistical Area",695
"Providence-Warwick, RI-MA Metropolitan Statistical Area",736
"Springfield, MA Metropolitan Statistical Area",673
"Worcester, MA-CT Metropolitan Statistical Area",659
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2019 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2020, Federal Trade Commission",
