Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Asheville, NC Metropolitan Statistical Area",857
"Burlington, NC Metropolitan Statistical Area",677
"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area","1,016"
"Durham-Chapel Hill, NC Metropolitan Statistical Area",757
"Fayetteville, NC Metropolitan Statistical Area",835
"Goldsboro, NC Metropolitan Statistical Area",530
"Greensboro-High Point, NC Metropolitan Statistical Area",787
"Greenville, NC Metropolitan Statistical Area",730
"Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area",620
"Jacksonville, NC Metropolitan Statistical Area",662
"Lumberton, NC Micropolitan Statistical Area",420
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metropolitan Statistical Area",957
"New Bern, NC Metropolitan Statistical Area",759
"Pinehurst-Southern Pines, NC Micropolitan Statistical Area",665
"Raleigh-Cary, NC Metropolitan Statistical Area",896
"Rocky Mount, NC Metropolitan Statistical Area",656
"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area",989
"Wilmington, NC Metropolitan Statistical Area",754
"Winston-Salem, NC Metropolitan Statistical Area",695
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2019 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2020, Federal Trade Commission",
