Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Albany-Lebanon, OR Metropolitan Statistical Area",682
"Bend, OR Metropolitan Statistical Area",773
"Eugene-Springfield, OR Metropolitan Statistical Area",801
"Medford, OR Metropolitan Statistical Area",772
"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area",864
"Roseburg, OR Micropolitan Statistical Area",753
"Salem, OR Metropolitan Statistical Area",634
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2019 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2020, Federal Trade Commission",
