Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,Reports per 100K Population
"Boulder, CO Metropolitan Statistical Area",389
"Colorado Springs, CO Metropolitan Statistical Area",366
"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area",394
"Fort Collins, CO Metropolitan Statistical Area",401
"Grand Junction, CO Metropolitan Statistical Area",273
"Greeley, CO Metropolitan Statistical Area",301
"Pueblo, CO Metropolitan Statistical Area",297
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2019 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2020, Federal Trade Commission",
