Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,Reports per 100K Population
"Albany, GA Metropolitan Statistical Area",393
"Athens-Clarke County, GA Metropolitan Statistical Area",297
"Atlanta-Sandy Springs-Alpharetta, GA Metropolitan Statistical Area",896
"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",333
"Brunswick, GA Metropolitan Statistical Area",269
"Chattanooga, TN-GA Metropolitan Statistical Area",161
"Columbus, GA-AL Metropolitan Statistical Area",588
"Dalton, GA Metropolitan Statistical Area",182
"Gainesville, GA Metropolitan Statistical Area",207
"LaGrange, GA-AL Micropolitan Statistical Area",398
"Macon-Bibb County, GA Metropolitan Statistical Area",590
"Savannah, GA Metropolitan Statistical Area",356
"Valdosta, GA Metropolitan Statistical Area",262
"Warner Robins, GA Metropolitan Statistical Area",677
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2019 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2020, Federal Trade Commission",
