Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,Reports per 100K Population
"Boise City, ID Metropolitan Statistical Area",160
"Coeur d'Alene, ID Metropolitan Statistical Area",154
"Idaho Falls, ID Metropolitan Statistical Area",111
"Logan, UT-ID Metropolitan Statistical Area",105
"Twin Falls, ID Metropolitan Statistical Area",122
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2019 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2020, Federal Trade Commission",
