Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,Reports per 100K Population
"Bloomington, IN Metropolitan Statistical Area",176
"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area","1,145"
"Cincinnati, OH-KY-IN Metropolitan Statistical Area",182
"Elkhart-Goshen, IN Metropolitan Statistical Area",165
"Evansville, IN-KY Metropolitan Statistical Area",183
"Fort Wayne, IN Metropolitan Statistical Area",289
"Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area",357
"Lafayette-West Lafayette, IN Metropolitan Statistical Area",224
"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area",189
"Michigan City-La Porte, IN Metropolitan Statistical Area",188
"Muncie, IN Metropolitan Statistical Area",189
"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area",219
"Terre Haute, IN Metropolitan Statistical Area",158
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2019 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2020, Federal Trade Commission",
