Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,Reports per 100K Population
"Kansas City, MO-KS Metropolitan Statistical Area",806
"Lawrence, KS Metropolitan Statistical Area","1,717"
"Manhattan, KS Metropolitan Statistical Area","1,207"
"St. Joseph, MO-KS Metropolitan Statistical Area",149
"Topeka, KS Metropolitan Statistical Area","1,925"
"Wichita, KS Metropolitan Statistical Area","1,395"
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2019 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2020, Federal Trade Commission",
