Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,Reports per 100K Population
"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area",678
"Concord, NH Micropolitan Statistical Area",153
"Lebanon, NH-VT Micropolitan Statistical Area",118
"Manchester-Nashua, NH Metropolitan Statistical Area",199
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2019 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2020, Federal Trade Commission",
