Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,Reports per 100K Population
"Akron, OH Metropolitan Statistical Area",248
"Canton-Massillon, OH Metropolitan Statistical Area",176
"Cincinnati, OH-KY-IN Metropolitan Statistical Area",182
"Cleveland-Elyria, OH Metropolitan Statistical Area",380
"Columbus, OH Metropolitan Statistical Area",247
"Dayton-Kettering, OH Metropolitan Statistical Area",207
"Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area",128
"Lima, OH Metropolitan Statistical Area",128
"Mansfield, OH Metropolitan Statistical Area",152
"Salem, OH Micropolitan Statistical Area",97
"Springfield, OH Metropolitan Statistical Area",142
"Toledo, OH Metropolitan Statistical Area",164
"Weirton-Steubenville, WV-OH Metropolitan Statistical Area",121
"Wheeling, WV-OH Metropolitan Statistical Area",135
"Wooster, OH Micropolitan Statistical Area",168
"Youngstown-Warren-Boardman, OH-PA Metropolitan Statistical Area",194
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2019 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2020, Federal Trade Commission",
