Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,Reports per 100K Population
"Albany-Lebanon, OR Metropolitan Statistical Area",136
"Bend, OR Metropolitan Statistical Area",153
"Eugene-Springfield, OR Metropolitan Statistical Area",150
"Medford, OR Metropolitan Statistical Area",150
"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area",247
"Roseburg, OR Micropolitan Statistical Area",137
"Salem, OR Metropolitan Statistical Area",146
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2019 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2020, Federal Trade Commission",
