Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,Reports per 100K Population
"Appleton, WI Metropolitan Statistical Area",87
"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area","1,145"
"Duluth, MN-WI Metropolitan Statistical Area",128
"Eau Claire, WI Metropolitan Statistical Area",119
"Fond du Lac, WI Metropolitan Statistical Area",97
"Green Bay, WI Metropolitan Statistical Area",109
"Janesville-Beloit, WI Metropolitan Statistical Area",138
"La Crosse-Onalaska, WI-MN Metropolitan Statistical Area",97
"Madison, WI Metropolitan Statistical Area",172
"Milwaukee-Waukesha, WI Metropolitan Statistical Area",257
"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",171
"Oshkosh-Neenah, WI Metropolitan Statistical Area",95
"Racine, WI Metropolitan Statistical Area",189
"Sheboygan, WI Metropolitan Statistical Area",103
"Wausau-Weston, WI Metropolitan Statistical Area",91
"Whitewater, WI Micropolitan Statistical Area",123
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2019 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2020, Federal Trade Commission",
