"Fraud, Identity Theft, and Other Reports by Military Consumers",,,,,
,,,,,
Military Status,# of Reports,# of Fraud Reports,% Reporting Fraud Loss,Total Fraud Loss,Median Fraud Loss
Active Duty Service Member,"18,544","8,670",38%,$34M,$881 
Military Retiree/Veteran,"162,067","87,343",24%,$177M,$570 
Reserve/National Guard,"10,914","6,015",34%,$25M,$758 
Spouse/Dependent of Active Duty Service Member,"14,771","8,799",34%,$30M,$536 
,,,,,
Military Branch,# of Reports,# of Fraud Reports,% Reporting Fraud Loss,Total Fraud Loss,Median Fraud Loss
U.S. Air Force,"38,343","21,353",22%,$42M,$550 
U.S. Army,"89,269","42,966",25%,$93M,$583 
U.S. Coast Guard,"3,128","1,689",28%,$7M,$600 
U.S. Marines,"18,518","9,306",27%,$21M,$545 
U.S. Navy,"40,104","22,127",24%,$45M,$550 
,,,,,
"Of the 207,816 total reports from military consumers in 2021, 91% provided military branch information.",,,,,
,,,,,
Military Rank,# of Reports,# of Fraud Reports,% Reporting Fraud Loss,Total Fraud Loss,Median Fraud Loss
Enlisted,"134,015","74,354",26%,$151M,$550 
Officer,"32,175","18,916",23%,$54M,$676 
,,,,,
"Of the 207,816 total reports from military consumers in 2021, 80% provided information about rank.",,,,,
,,,,,
,,,,,
"Source: Consumer Sentinel Network Data Book 2021, Federal Trade Commission",,,,,
