Identity Theft Types by Age,,
,,
Age Range,Theft Type,# of Reports
19 and Under,Bank Fraud,"1,664"
19 and Under,Credit Card Fraud,"1,707"
19 and Under,Employment or Tax-Related Fraud,"14,578"
19 and Under,Government Documents or Benefits Fraud,"2,467"
19 and Under,Loan or Lease Fraud,1003
19 and Under,Other Identity Theft,"2,722"
19 and Under,Phone or Utilities Fraud,696
20 - 29,Bank Fraud,"15,333"
20 - 29,Credit Card Fraud,"65,269"
20 - 29,Employment or Tax-Related Fraud,"21,697"
20 - 29,Government Documents or Benefits Fraud,"15,873"
20 - 29,Loan or Lease Fraud,"41,239"
20 - 29,Other Identity Theft,"61,910"
20 - 29,Phone or Utilities Fraud,"20,134"
30 - 39,Bank Fraud,"25,802"
30 - 39,Credit Card Fraud,"108,592"
30 - 39,Employment or Tax-Related Fraud,"25,027"
30 - 39,Government Documents or Benefits Fraud,"32,390"
30 - 39,Loan or Lease Fraud,"65,163"
30 - 39,Other Identity Theft,"103,283"
30 - 39,Phone or Utilities Fraud,"27,161"
40 - 49,Bank Fraud,"25,461"
40 - 49,Credit Card Fraud,"76,693"
40 - 49,Employment or Tax-Related Fraud,"17,967"
40 - 49,Government Documents or Benefits Fraud,"65,693"
40 - 49,Loan or Lease Fraud,"41,855"
40 - 49,Other Identity Theft,"74,288"
40 - 49,Phone or Utilities Fraud,"17,330"
50 - 59,Bank Fraud,"23,795"
50 - 59,Credit Card Fraud,"45,741"
50 - 59,Employment or Tax-Related Fraud,"13,845"
50 - 59,Government Documents or Benefits Fraud,"77,270"
50 - 59,Loan or Lease Fraud,"21,936"
50 - 59,Other Identity Theft,"43,581"
50 - 59,Phone or Utilities Fraud,"10,069"
60 - 69,Bank Fraud,"17,647"
60 - 69,Credit Card Fraud,"21,992"
60 - 69,Employment or Tax-Related Fraud,"8,824"
60 - 69,Government Documents or Benefits Fraud,"49,094"
60 - 69,Loan or Lease Fraud,"9,105"
60 - 69,Other Identity Theft,"20,072"
60 - 69,Phone or Utilities Fraud,"5,026"
70 - 79,Bank Fraud,"7,580"
70 - 79,Credit Card Fraud,"7,507"
70 - 79,Employment or Tax-Related Fraud,"3,882"
70 - 79,Government Documents or Benefits Fraud,"19,153"
70 - 79,Loan or Lease Fraud,2465
70 - 79,Other Identity Theft,"6,981"
70 - 79,Phone or Utilities Fraud,"1,839"
80 and Over,Bank Fraud,"1,961"
80 and Over,Credit Card Fraud,"1,954"
80 and Over,Employment or Tax-Related Fraud,1502
80 and Over,Government Documents or Benefits Fraud,3038
80 and Over,Loan or Lease Fraud,505
80 and Over,Other Identity Theft,1710
80 and Over,Phone or Utilities Fraud,457
,,
"Of the 1,434,676 total identity theft reports in 2021, 81% included consumer age information.",,
,,
"Source: Consumer Sentinel Network Data Book 2021, Federal Trade Commission",,
