Military Consumer Identity Theft Reports by Type,,,
,,,
Theft Type,Theft Subtype,# of Reports,% Difference from Previous Year
Credit Card Fraud,New Accounts ,"7,510",-20%
Credit Card Fraud,Existing Accounts ,"2,230",-11%
Bank Fraud,New Accounts,"5,121",29%
Bank Fraud,"Debit Cards, Electronic Funds Transfer, or ACH","2,391",-5%
Bank Fraud,Existing Accounts,758,-36%
Phone or Utilities Fraud,Mobile Telephone – New Accounts,"1,595",-34%
Phone or Utilities Fraud,Utilities – New Accounts,"1,300",-18%
Phone or Utilities Fraud,Landline Telephone – New Accounts,572,-9%
Phone or Utilities Fraud,Mobile Telephone – Existing Accounts,396,-19%
Phone or Utilities Fraud,Landline Telephone – Existing Accounts,168,-7%
Phone or Utilities Fraud,Utilities – Existing Accounts,87,-11%
Loan or Lease Fraud,Business\Personal Loan,"5,607",80%
Loan or Lease Fraud,Auto Loan\Lease,"1,184",-11%
Loan or Lease Fraud,Non-Federal Student Loan,370,-5%
Loan or Lease Fraud,Apartment or House Rented,334,-17%
Loan or Lease Fraud,Real Estate Loan,310,-9%
Loan or Lease Fraud,Federal Student Loan,225,-34%
Employment or Tax-Related Fraud,Tax Fraud,"3,698",-16%
Employment or Tax-Related Fraud,Employment or Wage-Related Fraud,664,-43%
Government Documents or Benefits Fraud,Government Benefits Applied For\Received,"16,885",-27%
Government Documents or Benefits Fraud,Other Government Documents Issued\Forged,481,-32%
Government Documents or Benefits Fraud,Driver's License Issued\Forged,321,-27%
Government Documents or Benefits Fraud,Passport Issued\Forged,77,13%
Other Identity Theft,Other,"4,787",-14%
Other Identity Theft,Online Shopping or Payment Account,"1,060",-5%
Other Identity Theft,Email or Social Media,"1,025",-6%
Other Identity Theft,Securities Accounts,667,114%
Other Identity Theft,Medical Services,651,-19%
Other Identity Theft,Evading the Law,294,-19%
Other Identity Theft,Insurance,279,-4%
,,,
"Consumers can report multiple types of identity theft. In 2021, 12% of Military identity theft reports included more than one type of identity theft.",,,
,,,
"Source: Consumer Sentinel Network Data Book 2021, Federal Trade Commission",,,
