Reported Frauds and Losses by Age,,,,,
,,,,,
Age Range,# of Reports,Percentage,Total $ Lost,Median $ Loss,Percentage Reporting $ Loss
19 and Under,"42,054",3%,$51M,$250 ,47%
20 - 29,"189,639",14%,$363M,$500 ,41%
30 - 39,"221,870",17%,$598M,$500 ,36%
40 - 49,"191,372",14%,$495M,$496 ,33%
50 - 59,"208,411",16%,$484M,$500 ,27%
60 - 69,"249,597",19%,$521M,$516 ,21%
70 - 79,"164,902",12%,$364M,$800 ,18%
80 and Over,"52,325",4%,$149M,"$1,500 ",17%
,,,,,
"Percentages are based on the total number of 2021 fraud reports in which consumers provided their age: 1,320,170.",,,,,
"Of the 2,789,161 total fraud reports in 2021, 47% included consumer age information.",,,,,
,,,,,
"Source: Consumer Sentinel Network Data Book 2021, Federal Trade Commission",,,,,
