Reports by Military Consumers,,,,,
,,,,,
Report Type,# of Reports,,,,
Fraud,"110,827",,,,
Identity Theft,"49,854",,,,
Other,"49,318",,,,
,,,,,
# of Fraud Reports,"110,827",,,,
# of Reports with $ Loss,"29,081",26% of military consumer fraud reports,,,
Total $ Loss,$267M,,,,
Median $ Loss,$600 ,,,,
,,,,,
Top 10 Fraud Categories,,,,,
Rank,Category, # of Reports  ,% Reporting $ Loss, Total $ Loss , Median $ Loss 
1,Imposter Scams,"44,039",20%,$103.9M,"$1,031 "
2,Online Shopping and Negative Reviews,"18,314",63%,$29.6M,$178 
3,"Prizes, Sweepstakes and Lotteries","5,201",19%,$23.7M,"$2,000 "
4,Business and Job Opportunities,"4,563",22%,$12.9M,"$2,395 "
5,Investment Related,"3,089",76%,$49.5M,"$3,000 "
6,Foreign Money Offers and Fake Check Scams,"2,447",28%,$7.8M,"$2,498 "
7,Telephone and Mobile Services,"2,304",28%,$2.3M,$225 
8,Internet Services,"1,778",16%,$2.0M,$500 
9,Health Care,"1,768",11%,$1.9M,$267 
10,Mortgage Foreclosure Relief and Debt Management,"1,257",24%,$4.6M,"$1,120 "
,,,,,
Identity Theft Types,,,,,
Rank, Theft Type ,# of Reports,,,
1,Government Documents or Benefits Fraud,"17,407",,,
2,Credit Card Fraud,"9,379",,,
3,Other Identity Theft,"7,809",,,
4,Bank Fraud,"7,782",,,
5,Loan or Lease Fraud,"7,488",,,
6,Employment or Tax-Related Fraud,"4,295",,,
7,Phone or Utilities Fraud,"3,571",,,
,,,,,
Top 10 Other Categories,,,,,
Rank,Category,# of Reports,,,
1,"Credit Bureaus, Information Furnishers and Report Users","12,315",,,
2,Banks and Lenders,"7,502",,,
3,Debt Collection,"5,897",,,
4,Auto Related,"3,609",,,
5,Credit Cards,"2,714",,,
6,"Privacy, Data Security, and Cyber Threats",1306,,,
7,Television and Electronic Media,1114,,,
8,"Home Repair, Improvement and Products",987,,,
9,Education,722,,,
10,Computer Equipment and Software,107,,,
,,,,,
"Certain categories are comprised of subcategories that fall in both Fraud and Other report types. See Appendix B3. The Fraud rankings exclude subcategories that are not fraud, and the Other rankings exclude subcategories that are classified as fraud.",,,,,
,,,,,
"Source: Consumer Sentinel Network Data Book 2021, Federal Trade Commission",,,,,
