Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Cape Coral-Fort Myers, FL Metropolitan Statistical Area",1075
"Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area",1057
"Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area",1280
"Gainesville, FL Metropolitan Statistical Area",1166
"Homosassa Springs, FL Metropolitan Statistical Area",1376
"Jacksonville, FL Metropolitan Statistical Area",1470
"Lakeland-Winter Haven, FL Metropolitan Statistical Area",1225
"Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area",1497
"Naples-Marco Island, FL Metropolitan Statistical Area",966
"North Port-Sarasota-Bradenton, FL Metropolitan Statistical Area",1467
"Ocala, FL Metropolitan Statistical Area",1188
"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area",1421
"Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area",1437
"Panama City, FL Metropolitan Statistical Area",1042
"Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area",1166
"Port St. Lucie, FL Metropolitan Statistical Area",1203
"Punta Gorda, FL Metropolitan Statistical Area",1149
"Sebastian-Vero Beach, FL Metropolitan Statistical Area",1812
"Sebring-Avon Park, FL Metropolitan Statistical Area",1035
"Tallahassee, FL Metropolitan Statistical Area",1213
"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",1369
"The Villages, FL Metropolitan Statistical Area",984
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2019 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2021, Federal Trade Commission",
