Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Bloomington, IL Metropolitan Statistical Area",884
"Carbondale-Marion, IL Metropolitan Statistical Area",924
"Champaign-Urbana, IL Metropolitan Statistical Area",918
"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",1153
"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area",760
"Decatur, IL Metropolitan Statistical Area",793
"Kankakee, IL Metropolitan Statistical Area",989
"Ottawa, IL Micropolitan Statistical Area",629
"Peoria, IL Metropolitan Statistical Area",826
"Rockford, IL Metropolitan Statistical Area",881
"Springfield, IL Metropolitan Statistical Area",947
"St. Louis, MO-IL Metropolitan Statistical Area",1149
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2019 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2021, Federal Trade Commission",
