Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Ann Arbor, MI Metropolitan Statistical Area",958
"Battle Creek, MI Metropolitan Statistical Area",800
"Bay City, MI Metropolitan Statistical Area",727
"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area",1002
"Flint, MI Metropolitan Statistical Area",900
"Grand Rapids-Kentwood, MI Metropolitan Statistical Area",748
"Holland, MI Micropolitan Statistical Area",561
"Jackson, MI Metropolitan Statistical Area",715
"Kalamazoo-Portage, MI Metropolitan Statistical Area",852
"Lansing-East Lansing, MI Metropolitan Statistical Area",801
"Monroe, MI Metropolitan Statistical Area",728
"Muskegon, MI Metropolitan Statistical Area",789
"Niles, MI Metropolitan Statistical Area",781
"Saginaw, MI Metropolitan Statistical Area",713
"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area",788
"Traverse City, MI Micropolitan Statistical Area",771
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2019 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2021, Federal Trade Commission",
