Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Duluth, MN-WI Metropolitan Statistical Area",726
"Fargo, ND-MN Metropolitan Statistical Area",686
"Grand Forks, ND-MN Metropolitan Statistical Area",609
"La Crosse-Onalaska, WI-MN Metropolitan Statistical Area",706
"Mankato, MN Metropolitan Statistical Area",649
"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",898
"Rochester, MN Metropolitan Statistical Area",673
"St. Cloud, MN Metropolitan Statistical Area",601
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2019 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2021, Federal Trade Commission",
