Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Columbia, MO Metropolitan Statistical Area",877
"Jefferson City, MO Metropolitan Statistical Area",768
"Joplin, MO Metropolitan Statistical Area",737
"Kansas City, MO-KS Metropolitan Statistical Area",981
"Springfield, MO Metropolitan Statistical Area",853
"St. Joseph, MO-KS Metropolitan Statistical Area",692
"St. Louis, MO-IL Metropolitan Statistical Area",1149
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2019 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2021, Federal Trade Commission",
