Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Chattanooga, TN-GA Metropolitan Statistical Area",909
"Clarksville, TN-KY Metropolitan Statistical Area",1133
"Cleveland, TN Metropolitan Statistical Area",760
"Cookeville, TN Micropolitan Statistical Area",720
"Jackson, TN Metropolitan Statistical Area",774
"Johnson City, TN Metropolitan Statistical Area",727
"Kingsport-Bristol, TN-VA Metropolitan Statistical Area",790
"Knoxville, TN Metropolitan Statistical Area",937
"Memphis, TN-MS-AR Metropolitan Statistical Area",2170
"Morristown, TN Metropolitan Statistical Area",676
"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area",1117
"Tullahoma-Manchester, TN Micropolitan Statistical Area",693
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2019 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2021, Federal Trade Commission",
