Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Bellingham, WA Metropolitan Statistical Area",967
"Bremerton-Silverdale-Port Orchard, WA Metropolitan Statistical Area",1059
"Kennewick-Richland, WA Metropolitan Statistical Area",694
"Longview, WA Metropolitan Statistical Area",911
"Mount Vernon-Anacortes, WA Metropolitan Statistical Area",942
"Olympia-Lacey-Tumwater, WA Metropolitan Statistical Area",1119
"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area",1022
"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",1062
"Spokane-Spokane Valley, WA Metropolitan Statistical Area",1024
"Wenatchee, WA Metropolitan Statistical Area",652
"Yakima, WA Metropolitan Statistical Area",678
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2019 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2021, Federal Trade Commission",
